"","PPG","SECTOR 2","TRADING COMPANY","PRODUCT RANGE","FORMAT","PPG_Description","Discount","Display","Display_Cost","Display_Flag","Event_Multiplier","Event_Multiplier_Discount","Event_Multiplier_Display","Event_Multiplier_Tesco","Event_Multiplier_Discount_Tesco","Event_Multiplier_Display_Tesco","ROI_GM","ROI_Rev","ROI_NIS","Promo_Price","RSP_Unit","R_ROI_GM","R_ROI_Rev","R_ROI_NIS","Flag_Event_Exist_in_History","Flag_Historical_Display_Event"
"21","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.223044397463002,"GH",140,1,7.82384290150568,0.0666163975731521,7.75722650393252,7.82384290150568,0.0666163975731521,7.75722650393252,0.0608437705654815,0.538673414145869,1.01616369008167,10.5,13.5142857142857,2.80884599166847,3.84655016277319,3.95793173703011,1,1
"22","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.186046511627907,"GH",140,1,6.6129593076239,0.0509111956765703,6.56204811194733,6.6129593076239,0.0509111956765703,6.56204811194733,0.179453917335593,0.672676953938942,1.18901982038307,11,13.5142857142857,3.45525872097803,4.66907533845811,4.80206346882948,1,1
"23","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.149048625792812,"GH",140,1,5.58278847731563,0.0375498445444647,5.54523863277117,5.58278847731563,0.0375498445444647,5.54523863277117,0.305481268499648,0.814324158871887,1.3712324643148,11.5,13.5142857142857,4.36257220202658,5.82358258524125,5.98753362406727,1,1
"24","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.112050739957717,"GH",140,1,4.70016912333229,0.0261022411396635,4.67406688219263,4.70016912333229,0.0261022411396635,4.67406688219263,0.438889093248376,0.963342403512197,1.56229192262031,12,13.5142857142857,5.72720545738296,7.56000446744395,7.77154385434953,1,1
"25","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.0750528541226215,"GH",140,1,3.93907289866174,0.0162307969054094,3.92284210175633,3.93907289866174,0.0162307969054094,3.92284210175633,0.579272231302773,1.11895529319143,1.76097882207176,12.5,13.5142857142857,8.00768305211949,10.4617886514585,10.7546397165841,1,1
"26","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.0380549682875264,"GH",140,1,3.27886162081155,0.00766783390431876,3.27119378690723,3.27886162081155,0.00766783390431876,3.27119378690723,0.725600877728409,1.27955302729396,1.96491143961156,13,13.5142857142857,12.5791978080665,16.2787934957131,16.7382681517388,1,1
"27","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.0010570824524313,"GH",140,1,2.70301756872074,0.000199116725617781,2.70281845199512,2.70301756872074,0.000199116725617781,2.70281845199512,0.875790562505239,1.44214393722157,2.1697953966405,13.5,13.5142857142857,26.3022382178367,33.7406189087643,34.7104306754407,1,1
"28","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.963002114164905,"STAIRCASE #2",437.5,1,26392.236814701,300.988962910503,26091.2478517905,26392.236814701,300.988962910503,26091.2478517905,-1.22905744367121,-0.962032420749937,-0.949325974346723,0.5,13.5142857142857,-0.0321588741453129,0.231525395437388,0.256621298076022,1,1
"29","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.92600422832981,"STAIRCASE #2",437.5,1,4496.68235626199,51.2558764016733,4445.42647986032,4496.68235626199,51.2558764016733,4445.42647986032,-1.19585390964043,-0.921969628992193,-0.895903937510046,1,13.5142857142857,0.0054975333534352,0.279441133771709,0.305518268648302,1,1
"30","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.889006342494715,"STAIRCASE #2",437.5,1,1595.53092358869,18.166351170136,1577.36457241855,1595.53092358869,18.166351170136,1577.36457241855,-1.16065584352985,-0.879609630871561,-0.83948868716111,1.5,13.5142857142857,0.0461965686077521,0.331228451076737,0.358372066513359,1,1
"31","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.852008456659619,"STAIRCASE #2",437.5,1,764.02967367239,8.68253681998084,755.347136852409,764.02967367239,8.68253681998084,755.347136852409,-1.12328064451993,-0.834761567265986,-0.779844583811399,2,13.5142857142857,0.0903207369983988,0.387374064725517,0.415681767046714,1,1
"32","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.815010570824524,"STAIRCASE #2",437.5,1,430.943787767575,4.88347493655468,426.06031283102,430.943787767575,4.88347493655468,426.06031283102,-1.08354861841459,-0.787234554346049,-0.716733693932015,2.5,13.5142857142857,0.13831966495506,0.448450099989255,0.478033844261313,1,1
"33","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.778012684989429,"STAIRCASE #2",437.5,1,269.454818382852,3.04158786134371,266.413230521508,269.454818382852,3.04158786134371,266.413230521508,-1.04127730231832,-0.736832654093779,-0.649910247427397,3,13.5142857142857,0.190725359216427,0.515133506619045,0.546122157234602,1,1
"34","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.741014799154334,"STAIRCASE #2",437.5,1,180.810622850661,2.03054296666583,178.780079883996,180.810622850661,2.03054296666583,178.780079883996,-0.996277761536833,-0.683351485437944,-0.579116809663528,3.5,13.5142857142857,0.248171882063972,0.588231094514838,0.620773675975647,1,1
