"","PPG","Week End Date","SECTOR 2","TRADING COMPANY","PRODUCT RANGE","FORMAT","PPG_Description","Inc_GM_Abs","Trade_Investment","Units","Gross_Sales","Net_Cost_Total","GM_Abs","FM_Total","Retailer_Revenue","Net_Revenue","Base_Units","Total_Inc_Unit_Sales","No_Of_Units","ACV_D","ACV_D_Any_Promo","ACV_D_Multibuy_Display","ACV_D_Multibuy_Only","ACV_D_Feature_Display","ACV_D_Display_Only","ACV_D_Feature_Only","ACV_D_Unsupported","ACV_D_Total_Multibuy","ACV_D_Multibuy_Feature_Display","ACV_D_Multibuy_Feature","Total Regular Price Elasticiy_Betas","Regular Price Elasticity_Betas","Reg Price Ratio Rest of Brand_Betas","Reg Price Ratio Rest of Manufacturer_Betas","Reg Price Ratio Rest of Category_Betas","Promoted Price Elasticity_Betas","Display Only_Betas","Feature Only_Betas","Feature and Display_Betas","Multi Buy_Betas","Total Multibuy Effect_Betas","Flag_Display_HEA","Flag_TPR_HEA","Display_Num","Inc_Revenue","NIS","Inc_NIS","Display_Cost","Retro_Fund_Total","VAT","R_GM_Inc","R_Net_Revenue_Inc","R_NIS_Inc","R_Total_Trade_Inv_Inc","Value","Units_Sale_in_Case"
"31","D77",2024-01-31,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,21,10,180.5,164.4,124.3,7.50476190476188,180.5,159.5,6,0,18,0.272272926178191,0.272272926178191,0,0,0,0,0.272272926178191,1,0,0,0,-3.31518798936769,-3.31518798936769,0.614360854420075,0.614360854420075,0.980399104045926,-2.47223681822851,1.5,1.70021308658435,2.55031962987653,0,0,0,0,0,0,159.5,0,0,0,0.05,0,0,0,0,180.5,0.555555555555556
"32","D77",2024-02-01,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,12,7,129.5,115.08,92.86,8.25333333333332,129.5,117.5,7,0,18,0.152223209365529,0.101418099623185,0,0,0,0,0.101418099623185,1,0,0,0,-3.24625203056009,-2.99315789460603,0.623123214279374,0.623123214279374,0.994382107184194,-2.43989773392994,1.5,1.6723002031674,2.5084503047511,0,0,0,0,0,0,117.5,0,0,0,0.05,0,0,0,0,129.5,0.388888888888889
"33","D77",2024-02-02,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,9,7,133,115.08,99.36,11.5866666666666,133,124,6,0,18,0.257264276797526,0.0910132108491531,0,0,0,0,0.0910132108491531,1,0,0,0,-3.09730422434943,-2.84421008839537,0.634019684245065,0.634019684245065,1.01177073036024,-2.27154044242418,1.5,1.64872178517009,2.47308267775514,0,0,0,0,0,0,124,0,0,0,0.05,0,0,0,0,133,0.388888888888889
"34","D77",2024-02-03,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,9,4,71.5,65.76,48.42,2.33523809523809,71.5,62.5,5,0,18,0.118320490991678,0.0885717944384158,0,0,0,0,0.0885717944384158,1,0,0,0,-3.18437631474881,-3.18437631474881,0.605948045915814,0.605948045915814,0.966973916127871,-2.43959500960742,1.5,1.62292701688377,2.43439052532566,0,0,0,0,0,0,62.5,0,0,0,0.05,0,0,0,0,71.5,0.222222222222222
"35","D77",2024-02-04,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,3,7,140,115.08,112.36,18.2533333333333,140,137,4,0,18,0.306419653616169,0.21518262317421,0,0,0,0,0.21518262317421,1,0,0,0,-3.09730422434943,-2.33802181648724,0.657613517307961,0.657613517307961,1.04942184798835,-2.27154044242418,1.5,1.64872178517009,2.47308267775514,0,0,0,0,0,0,137,0,0,0,0.05,0,0,0,0,140,0.388888888888889
"36","D77",2024-02-05,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,12,11,211.5,180.84,160.78,20.5885714285714,211.5,199.5,5,0,18,0.518781652786208,0.269930945819869,0,0,0,0,0.269930945819869,1,0,0,0,-3.22375177026508,-2.57951215147292,0.639399084616299,0.639399084616299,1.02035519544508,-2.43978765235811,1.5,1.65434631724608,2.48151947586912,0,0,0,0,0,0,199.5,0,0,0,0.05,0,0,0,0,211.5,0.611111111111111
"37","D77",2024-02-06,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",40.845933127489,52.18,6,102,98.64,28.7,0.512857142857131,102,49.82,3,8.53921946916147,18,0.410260043659592,0.410260043659592,0,0,0,0,0.410260043659592,1,0,0,0,-3.25511019750332,-3.25511019750332,0.587793045074589,0.587793045074589,0.938002105130096,-2.38660470874404,1.5,1.88779160578982,2.83168740868474,0,0,0,1,0,70.9039856589374,84,119.549072568261,0,34.18,0.05,80.8434186119127,110.901471143361,114.76710966553,29.4832969296535,102,0.333333333333333
"38","D77",2024-02-07,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,1.5,9,180,147.96,146.82,23.4685714285714,180,178.5,6,0,18,0.390456470976895,0,0,0,0,0,0,1,0,0,0,-3.36794734544551,-3.17109635081457,0.613478384213543,0.613478384213543,0.978990855142034,-2.70124867747663,1.5,1.51235885393671,2.26853828090506,0,0,0,0,0,0,178.5,0,0,0,0.05,0,0,0,0,180,0.5
"39","D77",2024-02-08,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,2.5,15,300,246.6,244.7,39.1142857142857,300,297.5,7,0,18,0.375636515583551,0.112690646396766,0,0,0,0,0.112690646396766,1,0,0,0,-3.27216587877153,-2.79972349165728,0.614117185084855,0.614117185084855,0.98001025570669,-2.48269360705067,1.5,1.75481255047084,2.63221882570626,0,0,0,0,0,0,297.5,0,0,0,0.05,0,0,0,0,300,0.833333333333333
"40","D77",2024-02-09,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,0.5,5,100,82.2,81.9,13.0380952380952,100,99.5,5,0,18,0.213382211200289,0.103889256034753,0,0,0,0,0.103889256034753,1,0,0,0,-3.27449300254538,-3.27449300254538,0.601951517108076,0.601951517108076,0.960596242104191,-2.56804317383412,1.5,1.58645899170067,2.37968848755101,0,0,0,0,0,0,99.5,0,0,0,0.05,0,0,0,0,100,0.277777777777778
